P,hairdryer,kettle,vacuum,lamp,fan
0.0,0,0,0,0,1
0.0,0,0,0,0,1
0.0,0,0,0,0,1
0.0,0,0,0,0,1
0.0,0,0,0,0,1
0.0,0,0,0,0,1
0.0,0,0,0,0,1
0.0,0,0,0,0,1
0.0,0,0,0,0,1
1.8431999999999997,0,0,0,0,1
1.4745599999999999,0,0,0,0,1
1.4745599999999999,0,0,0,0,1
0.7372799999999999,0,0,0,0,1
0.36863999999999997,0,0,0,0,1
0.0,0,0,0,0,1
0.36863999999999997,0,0,0,0,1
0.7372799999999999,0,0,0,0,1
1.10592,0,0,0,0,1
0.36863999999999997,0,0,0,0,1
0.0,0,0,0,0,1
0.36863999999999997,0,0,0,0,1
17.326079999999997,0,0,0,0,1
449.00352,0,0,0,0,1
707.7887999999999,0,0,0,0,1
775.61856,0,0,0,0,1
